亜	亞
囲	圍
壱	壹
飲	飮
栄	榮
謁	謁
艶	艷
応	應
殴	毆
穏	穩
禍	禍
壊	壞
海	海
概	槪
覚	覺
楽	樂
褐	褐
寛	寬
缶	罐
陥	陷
既	既
祈	祈
戯	戲
拠	據
峡	峽
郷	鄕
勤	勤
駆	驅
径	徑
渓	溪
茎	莖
鶏	鷄
欠	缺
圏	圈
献	獻
険	險
厳	嚴
恒	恆
国	國
済	濟
剤	劑
殺	殺
惨	慘
賛	贊
糸	絲
児	兒
実	實
煮	煮
釈	釋
臭	臭
獣	獸
粛	肅
緒	緖
叙	敍
渉	涉
称	稱
剰	剩
条	條
畳	疊
嘱	囑
慎	愼
尽	盡
酔	醉
数	數
声	聲
摂	攝
専	專
潜	潛
銭	錢
祖	祖
壮	壯
挿	插
痩	瘦
装	裝
憎	憎
贈	贈
続	續
対	對
台	臺
沢	澤
担	擔
弾	彈
遅	遲
鋳	鑄
徴	徵
勅	敕
逓	遞
点	點
党	黨
当	當
独	獨
届	屆
弐	貳
覇	霸
梅	梅
発	發
繁	繁
卑	卑
浜	濱
敏	敏
福	福
併	倂
変	變
舗	舖
宝	寶
墨	墨
毎	每
免	免
餅	餠
薬	藥
余	餘
揺	搖
来	來
欄	欄
竜	龍
猟	獵
涙	淚
礼	禮
齢	齡
恋	戀
炉	爐
朗	朗
録	錄
悪	惡
為	爲
逸	逸
隠	隱
衛	衞
円	圓
塩	鹽
横	橫
黄	黃
仮	假
画	畫
悔	悔
絵	繪
拡	擴
学	學
喝	喝
勧	勸
歓	歡
観	觀
顔	顏
帰	歸
亀	龜
犠	犧
挙	擧
挟	挾
響	響
謹	謹
勲	勳
恵	惠
経	經
蛍	螢
芸	藝
倹	儉
検	檢
研	硏
顕	顯
効	效
鉱	鑛
穀	穀
砕	碎
桜	櫻
雑	雜
桟	棧
残	殘
視	視
辞	辭
舎	舍
社	社
寿	壽
従	從
縦	縱
処	處
署	署
奨	奬
焼	燒
証	證
壌	壤
浄	淨
譲	讓
触	觸
真	眞
図	圖
随	隨
枢	樞
静	靜
窃	竊
戦	戰
繊	纖
禅	禪
僧	僧
層	層
巣	巢
総	總
騒	騷
臓	臟
即	卽
堕	墮
帯	帶
滝	瀧
単	單
胆	膽
断	斷
昼	晝
著	著
懲	懲
鎮	鎭
鉄	鐵
伝	傳
盗	盜
闘	鬪|鬭
読	讀
縄	繩
悩	惱
廃	廢
売	賣
髪	髮
晩	晚
碑	碑
賓	賓
瓶	甁
払	拂
塀	塀
辺	邊
歩	步
褒	襃
没	沒
万	萬
麺	麵
戻	戾
訳	譯
与	與
様	樣
頼	賴
覧	覽
虜	虜
緑	綠
類	類
隷	隸
暦	曆
練	練
労	勞
楼	樓
湾	灣
圧	壓
医	醫
稲	稻
営	營
駅	驛
縁	緣
奥	奧
欧	歐
温	溫
価	價
会	會
懐	懷
慨	慨
殻	殼
岳	嶽
渇	渴
巻	卷
漢	漢
関	關
器	器
気	氣
偽	僞
旧	舊
虚	虛
狭	狹
暁	曉
区	區
薫	薰
掲	揭
継	繼
軽	輕
撃	擊
剣	劍
権	權
県	縣
験	驗
広	廣
号	號
黒	黑
斎	齋
冊	册
参	參
蚕	蠶
祉	祉
歯	齒
湿	濕
写	寫
者	者
収	收
渋	澁
祝	祝
暑	暑
諸	諸
将	將
祥	祥
乗	乘
嬢	孃
状	狀
醸	釀
寝	寢
神	神
粋	粹
髄	髓
瀬	瀨
斉	齊
節	節
浅	淺
践	踐
曽	曾
双	雙
捜	搜
争	爭
荘	莊
増	增
蔵	藏
属	屬
体	體
滞	滯
択	擇
嘆	嘆
団	團
痴	癡
虫	蟲
庁	廳
聴	聽
塚	塚
転	轉
都	都
灯	燈
徳	德
突	突
難	難
脳	腦
拝	拜
麦	麥
抜	拔
蛮	蠻
秘	祕
頻	頻
侮	侮
弁	辨|瓣|辯
仏	佛
並	竝
勉	勉
穂	穗
豊	豐
翻	飜
満	滿
黙	默
弥	彌
予	豫
誉	譽
謡	謠
乱	亂
隆	隆
両	兩
塁	壘
励	勵
霊	靈
歴	歷
錬	鍊
廊	廊
郎	郞
尭	堯
槙	槇
琢	琢
禄	祿
聡	聰
巌	巖
渚	渚
瑶	瑤
禎	禎
晋	晉
猪	猪
祐	祐
穣	穰
