仞	仭
俠	侠
俱	倶
倅	伜
偸	偷
僭	僣
兎	兔
兪	俞
冕	冕
冤	寃
凜	凛
函	凾
刪	删
刱	剏
剿	𠞰
勖	勗
匝	帀
卅	丗
卉	卉
卮	巵
卿	卿
厩	廐|廏
吞	呑
啖	啗
啞	唖
噓	嘘
嚔	嚏
嚙	噛
囊	嚢
坎	埳
壺	壷
奘	弉
姮	嫦
姸	妍
孶	孳
寇	冦
屛	屏
屢	屡
屭	屓
峨	峩
崙	崘
嵯	嵳
幫	幇
幷	并
廁	厠
廈	厦
廛	壥
廝	厮
彎	弯
彝	彜
怱	悤
恤	卹
悴	忰
慙	慚
懺	懴
戛	戞
拋	抛
拿	拏
揶	捓
搔	掻
摑	掴
擡	抬
攢	攅
攪	撹
晢	晣
晰	晳
曠	昿
杆	桿
枡	桝
棕	椶
楕	橢
楡	榆
槔	槹
樒	櫁
檗	蘗
檜	桧
檮	梼
櫟	檪
櫱	蘖
欅	櫸
殲	殱
毘	毗
淵	渕
潑	溌
澗	㵎
濤	涛
濾	沪
瀆	涜
瀦	潴
灌	潅
炯	烱
焰	焔
熔	鎔
熙	煕|熈
燻	熏
牆	墻
犂	犁
琅	瑯
瑇	玳
畬	畭
疇	畴
皐	皋
皹	皸
盪	蘯
眥	眦
碗	盌
礦	砿
礪	砺
禰	祢
禱	祷
秕	粃
稟	禀
穎	頴
竈	竃
竪	豎
筐	筺
筓	笄
箏	筝
箚	劄
篡	簒
篦	箆
簑	簔
簞	箪
簾	簾
籒	籀
籤	籖
絣	絣
繈	繦
繡	繍
繫	繋
纏	纒
纘	纉
翠	翆
聯	聨
腁	胼
膣	腟
芻	蒭
苺	莓
荊	荆
菟	莵
萊	莱
萌	萠
蔕	蒂
蔣	蒋
蕊	蘂|蕋
藪	薮
蘆	芦
虻	蝱
蜹	蚋
蝨	虱
螂	蜋
蟇	蟆
蟬	蝉
蟹	蠏
蠅	蝿
蠎	蟒
蠟	蝋
蠣	蛎
蠹	蠧
衮	袞
袵	衽
襌	褝
諡	謚
諫	諌
譖	譛
讃	讚
讐	讎
賤	賎
躄	躃
躪	躙
軀	躯
輀	轜
輒	輙
輛	輌
迪	廸
迺	廼
逬	迸
遒	逎
醬	醤
醱	醗
鉤	鈎
鑽	鑚
闊	濶
雁	鴈
靱	靭
韮	韭
頸	頚
頽	頹
顚	顛
騈	駢
驒	騨
髥	髯
鬧	閙
鰮	鰛
鰺	鯵
鳧	鳬
鴃	鴂
鴥	鴪
鵁	𪁉
鵝	鵞
鶪	鵙
鶯	鴬
鷗	鴎
鹼	鹸
麕	麇
麤	麁
麩	麸
麴	麹
鼴	鼹
齏	韲
齧	囓
龝	穐
